what,when,with,where,why
Professor,Jul 2021 - Present,Department of City & Regional Planning,University of North Carolina at Chapel Hill,
Director,Jul 2021 -Jul 2024,Center for Urban & Regional Studies,University of North Carolina at Chapel Hill,
Adjunct Associate Professor,Jul 2016 - Jul 2024,"Environment, Ecology & Energy Program",University of North Carolina at Chapel Hill,
Host Professor,Jan 2019 - May 2019,"School of Architecture, Civil & Environmental Engineering",Ecole Polytechnique Fédérale de Lausane,
Associate Professor,Jul 2015  - Jul 2021,Department of City & Regional Planning,University of North Carolina at Chapel Hill,
Associate Chair,Jul 2015  - Jul 2017,Department of City & Regional Planning,University of North Carolina at Chapel Hill,
Assistant Professor,Jul 2009  - Jul 2015,Department of City & Regional Planning,University of North Carolina at Chapel Hill,
Adjunct Assistant Professor,Jan 2012 - Jul 2016,Curriculum of Ecology & Environment,University of North Carolina at Chapel Hill,
Sustainability Systems Modeler,Jan 2008 - Dec 2008,EDAW Inc.,"Washington, DC",
Post Doctoral Fellow,Nov 2007 - Jun 2009,National Center for Smart Growth Research & Education,University of Maryland at College Park,
