Course_number,Title,Term,Year,Enrollment
PLAN 992,Master's Project,Spring,2024,3
PLAN 896,Independent Study,Spring,2024,1
PLAN 704,Theory of Planning ,Spring,2024,37
PLAN 992,Master's Project,Spring,2022,4
PLAN 805,Advanced Planning Theory,Fall,2022,9
PLAN 562,Ethics and Politics of New Urban Analytics,Fall,2023,18
PLAN 704,Theory of Planning ,Spring,2022,24
PLAN 992,Master's Project,Spring,2022,2
PLAN 704,Theory of Planning ,Fall,2022,46
PLAN 672,Urban Data Analytics,Fall,2022,7
PLAN 992,Master's Project,Spring,2021,3
PLAN 704,Theory of Planning ,Spring,2021,17
ENEC 694H,ENEC Honors Research,Spring,2021,1
PLAN 805,Advanced Planning Theory,Fall,2021,6
PLAN 547,"Energy, Transportation and Land Use",Fall ,2015,21
PLAN 547,"Energy, Transportation and Land Use",Fall ,2016,21
PLAN 547,"Energy, Transportation and Land Use",Fall ,2018,19
PLAN 547,"Energy, Transportation and Land Use",Fall ,2021,12
ENEC 693H,ENEC Honors Research,Fall,2020,1
PLAN 704,Theory of Planning ,Spring,2021,24
PLAN 704,Theory of Planning ,Spring,2020,32
PLAN 672,Urban Data Analytics,Fall,2020,7
PLAN 672,Urban Data Analytics,Spring,2020,19
PLAN 562,Ethics and Politics of New Urban Analytics,Fall,2020,5
PLAN 562,Ethics and Politics of New Urban Analytics,Fall,2019,5
PLAN 805,Advanced Planning Theory,Fall,2019,6
PLAN 992,Master's Project,Spring,2019,1
PLAN 704,Theory of Planning ,Fall,2018,13
PLAN 672,Urban Data Analytics,Fall,2018,10
PLAN 992,Master's Project,Spring,2018,2
PLAN 704,Theory of Planning ,Spring,2017,40
PLAN 805,Advanced Planning Theory,Fall,2017,6
PLAN 992,Master's Project,Spring,2017,2
PLAN 704,Theory of Planning ,Spring,2016,45
PLAN 896,Independent Study,Spring,2016,1
PLAN 992,Master's Project,Spring,2016,4
PLAN 704,Theory of Planning ,Spring,2015,41
PLAN 057,What is a Good City?,Spring,2015,9
PLAN 992,Master's Project,Spring,2015,3
PLAN 704,Theory of Planning ,Spring,2014,23
PLAN 057,What is a Good City?,Spring,2014,9
PLAN 805,Advanced Planning Theory,Fall,2014,9
PLAN 896,Independent Study,Fall,2014,2
PLAN 992,Master's Project,Spring,2014,3
PLAN 992,Master's Project,Spring,2013,1
PLAN 704,Theory of Planning ,Fall,2012,16
PLAN 805,Advanced Planning Theory,Fall,2012,8
PLAN 992,Master's Project,Spring,2012,2
PLAN 704,Theory of Planning ,Fall,2011,11
PLAN 823,Planning Workshop,Spring,2011,16
PLAN 823,Planning Workshop,Fall,2011,9
PLAN 992,Master's Project,Spring,2011,3
PLAN 704,Theory of Planning ,Fall,2010,19
PLAN 704,Theory of Planning ,Spring,2010,25
PLAN 805,Advanced Planning Theory,Fall,2010,7
PLAN 896,Independent Study,Spring,2010,2
PLAN 896,Independent Study,Fall,2010,1
PLAN 992,Master's Project,Spring,2010,2
PLAN 704,Theory of Planning ,Fall,2009,14
